project,raw_comments,enriched,enrichment_rate
20230206143628723云晟新材料 修改意见,7,4,57%
202303061051125381佛山市顺德区启卓工程塑料实业有限公司搬迁项目,13,8,62%
202303091446684010云晟新材料修改意见,16,10,62%
20230406116394523佛山市顺德区启卓工程塑料实业有限公司搬迁项目-,17,9,53%
20230529101652538佛山市镪优金属制品有限公司修改意见,20,8,40%
202306081436449436word版（送审稿）-佛山市亦朋包装制品有限,15,7,47%
202307051138439441.佛山市亮正新材料有限公司新建项目-修改意见,29,17,59%
2023072815191945710佛山市海纳金升家具配件有限公司新建项目（修,17,10,59%
202307319405849广东威诺高科技股份有限公司搬迁项目修改意见,31,15,48%
202308101518134757word版（送审稿）-佛山市顺德区博立源五金,28,16,57%
202308101521234849佛山市海纳金升家具配件有限公司新建项目（全本,17,7,41%
202309151058462902word版（送审稿）-佛山港晶精密机械有限公,16,11,69%
2023091815484454110佛山市顺德区百洛电器有限公司迁扩建项目（修,8,1,12%
20230922114489844word版（送审稿）-佛山市新汇龙包装材料有限,14,10,71%
2023101914551665922.悍高集团股份有限公司功能拉篮车间搬迁扩建,22,16,73%
20240219佛山市顺德区宏乾电器有限公司迁扩建项目（修改意见）,20,14,70%
20240223佛山市瀚铭新材料有限公司新建项目修改意见,15,10,67%
202403061513437166乐鲸修改意见,24,7,29%
20240327150247848广东潜龙化工有限公司新建项目修改意见,13,5,38%
202404081435415312佛山市顺德区康明新材料厂新建项目 修改意见,19,12,63%
20240506937501636报批稿-广东圣鑫机电股份有限公司扩建项目（修改,27,15,56%
20240618佛山市顺德区博立源五金制品有限公司建设项目环境影响报告表修改意见,19,11,58%
佛山市润特龙清洁用品有限公司新建项目（修改意见）,7,4,57%
佛山市顺德区百洛电器有限公司迁扩建项目（修改意见）,8,4,50%
佛山市顺德区蓝顿涂料有限公司迁建项目修改意见,27,14,52%
恒励新材料科技（佛山）有限公司新建项目-修改意见,20,16,80%
（20230603第二次修改版）佛山市顺德区亚马逊涂料有限公司迁扩建项目修改意见,14,7,50%
（送审稿）佛山市生林塑料制品有限公司迁扩建项目（佛山市南粤水土环境技术有限公司）,15,7,47%
