item_id,group,model,judgement(0-2),evidence(0-2),actionable(0-2),common_6,standard(0-2),experience(0-2),knowledge_4,total_10,notes
Q01,A,,,,,,,,,,
Q01,B,,,,,,,,,,
Q01,C,,,,,,,,,,
Q02,A,,,,,,,,,,
Q02,B,,,,,,,,,,
Q02,C,,,,,,,,,,
Q03,A,,,,,,,,,,
Q03,B,,,,,,,,,,
Q03,C,,,,,,,,,,
Q04,A,,,,,,,,,,
Q04,B,,,,,,,,,,
Q04,C,,,,,,,,,,
Q05,A,,,,,,,,,,
Q05,B,,,,,,,,,,
Q05,C,,,,,,,,,,
Q06,A,,,,,,,,,,
Q06,B,,,,,,,,,,
Q06,C,,,,,,,,,,
Q07,A,,,,,,,,,,
Q07,B,,,,,,,,,,
Q07,C,,,,,,,,,,
Q08,A,,,,,,,,,,
Q08,B,,,,,,,,,,
Q08,C,,,,,,,,,,
Q09,A,,,,,,,,,,
Q09,B,,,,,,,,,,
Q09,C,,,,,,,,,,
Q10,A,,,,,,,,,,
Q10,B,,,,,,,,,,
Q10,C,,,,,,,,,,
Q11,A,,,,,,,,,,
Q11,B,,,,,,,,,,
Q11,C,,,,,,,,,,
Q12,A,,,,,,,,,,
Q12,B,,,,,,,,,,
Q12,C,,,,,,,,,,
Q13,A,,,,,,,,,,
Q13,B,,,,,,,,,,
Q13,C,,,,,,,,,,
Q14,A,,,,,,,,,,
Q14,B,,,,,,,,,,
Q14,C,,,,,,,,,,
Q15,A,,,,,,,,,,
Q15,B,,,,,,,,,,
Q15,C,,,,,,,,,,
Q16,A,,,,,,,,,,
Q16,B,,,,,,,,,,
Q16,C,,,,,,,,,,
Q17,A,,,,,,,,,,
Q17,B,,,,,,,,,,
Q17,C,,,,,,,,,,
Q18,A,,,,,,,,,,
Q18,B,,,,,,,,,,
Q18,C,,,,,,,,,,
