category,file_count,total_size_bytes,total_size_mb,sources
VOCs核算文件,3,51882,0.0,review_material_pack
benchmark数据,22,18786177,17.9,"eia_knowledge, review_material_pack, experience_review, eia_data"
三线一单文件,9,1572637,1.5,"review_material_pack, experience_review"
专家意见,1,4412,0.0,review_material_pack
修改意见,129,431886039,411.9,ai_packages
其他,276,226761012,216.3,"ai_packages, review_material_pack, experience_review, eia_data"
工作流文件,17,325880,0.3,"review_material_pack, experience_review, upload_manifest"
技术评估意见,6,480116,0.5,eia_data
标准PDF,146,288702092,275.3,"standards_downloads, upload_manifest, review_material_pack, experience_review, eia_knowledge, eia_data"
清单索引,23,680030,0.6,"eia_data, review_material_pack, ai_packages, upload_manifest"
环评报告,147,797309504,760.4,"standards_downloads, upload_manifest, review_material_pack, experience_review, ai_packages, eia_data"
经验规则,27,9867582,9.4,"review_material_pack, experience_review, eia_knowledge, ai_packages, eia_data"
论文文献,16,222181,0.2,"review_material_pack, eia_data"
